Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.,,Dividend,Total Amount,,
ABFRL,71,269.81,297.95,21154.45,1998,10.43,-0.8,TEP,0,0,,
ACCELYA,5,1798.97,1619.9,8099.5,-895.35,-9.95,-0.38,RHE,40,200,,
ACCELYA,46,1726.3,1619.9,74515.4,-4894.5,-6.16,-0.38,TEP,40,1840,,
ADVANIHOTR,21,41.36,69.85,1466.85,598.25,68.88,0.42,TEP,0,0,,
ALFATRAN,6,93.22,152.6,915.6,356.28,63.7,4.99,TEP,0,0,,
ARE&M,1,985.25,1320.2,1320.2,334.95,34,-0.86,XGT,10,10,,
ASMS,15,22.91,21.44,321.6,-22.1,-6.43,-0.46,RHE,0,0,,
ASMS,90,18.6,21.36,1922.4,248.39,14.84,-0.84,TEP,0,0,,
ASMS,652,20.18,21.36,13926.72,770.92,5.86,-0.84,XGT,0,0,,
BAJAJCON,63,227.57,231.25,14568.75,231.85,1.62,-1.03,TEP,3,189,,
BAJAJCON,35,239.52,231.64,8107.4,-275.75,-3.29,-0.86,XGT,3,105,,
BAJAJHCARE,33,328.04,392.2,12942.6,2117.2,19.56,2.1,TEP,1,33,,
BAJAJHCARE,70,324.73,392,27440,4708.6,20.71,2.04,XGT,1,70,,
BAJAJHIND,200,27.86,34.8,6960,1388,24.91,-1,XGT,0,0,,
BANDHANBNK,50,187.16,182.49,9124.5,-233.25,-2.49,-0.4,RHE,1.5,75,,
BANDHANBNK,25,197.98,182.67,4566.75,-382.65,-7.73,-0.31,TEP,1.5,37.5,,
BARBEQUE,39,595.23,570.7,22257.3,-956.55,-4.12,-0.78,RHE,0,0,,
BARBEQUE,21,549.03,571.95,12010.95,481.3,4.17,-0.57,TEP,0,0,,
BCP,8000,4.68,4.64,37120,-353.4,-0.94,-1.28,RHE,0,0,,
BFINVEST,4,663.83,684.05,2736.2,80.9,3.05,0.75,RHE,0,0,,
BHEL,65,195.02,245.35,15947.75,3271.25,25.81,-1.07,XGT,0,0,,
BLIL,60,57.97,82.88,4972.8,1494.45,42.96,0.58,TEP,3.8,228,,
BLIL,105,73.12,82.8,8694,1016.5,13.24,0.49,XGT,3.8,399,,
